_id,StatisticCrimeGroup,StatisticCrimeType,Crime,Excluded
1,לא ידוע,לא ידוע,לא ידוע,
2,לא ידוע,לא ידוע,לא ידוע,
3,לא ידוע,לא ידוע,לא ידוע,
4,לא ידוע,לא ידוע,שימוש בטלפון בעת שהרכב נע שלא באמצעות מיקרופון המו,
5,לא ידוע,לא ידוע,שליחת או קריאת מסרון,
6,סעיפי הגדרה,סעיפי הגדרה,איסור אחסון הובלה והפצה של תרופות במבנה ובציוד לא,
7,סעיפי הגדרה,סעיפי הגדרה,"איסור אחסון, הובלה והפצה אלא באמצעות בית מסחר לתרו",
8,סעיפי הגדרה,סעיפי הגדרה,"איסור איחסון, הובלה או הפצת תרופות בתנאים לא נאותי",
9,סעיפי הגדרה,סעיפי הגדרה,איסור הפעלת בית מסחר לתרופות ללא רוקח אחראי,
10,סעיפי הגדרה,סעיפי הגדרה,איסור ייצור וייבוא תכשירים בניגוד לאישור המנהל,
11,סעיפי הגדרה,סעיפי הגדרה,"איסור ייצור, אחסון, הובלה או הפצה של חומרי גלם פעי",
12,סעיפי הגדרה,סעיפי הגדרה,איסור לייבא ולשווק תכשיר תואם ללא אישור מנהל,
13,סעיפי הגדרה,סעיפי הגדרה,איסור לקבל תרופות מגוף שאינו בית מסחר אחר לתרופות,
14,סעיפי הגדרה,סעיפי הגדרה,איסור מכירת תכשיר ללא מרשם בניגוד להוראות שקבע שר,
15,סעיפי הגדרה,סעיפי הגדרה,"איסור מכירת תכשיר מרשם אלא ע""י רוקח",
16,סעיפי הגדרה,סעיפי הגדרה,איסור שיווק בסיטונאות למוסד שאינו בית מסחר לתרופות,
17,סעיפי הגדרה,סעיפי הגדרה,איסור שיווק סיטונאי של תרופות למוסד שאינו בית מסחר,
18,סעיפי הגדרה,סעיפי הגדרה,האחריות של המייעץ,
19,סעיפי הגדרה,סעיפי הגדרה,המסייע לביצוע עבירה,
20,סעיפי הגדרה,סעיפי הגדרה,המסייע לביצוע עבירה,
21,סעיפי הגדרה,סעיפי הגדרה,התחייבות הנדון להמנע מעבירה,
22,סעיפי הגדרה,סעיפי הגדרה,לא יכנס אדם ולא יצא מישראל אלא בתחנות הגבול,
23,סעיפי הגדרה,סעיפי הגדרה,מאסר על אי מתן התחייבות,
24,סעיפי הגדרה,סעיפי הגדרה,מאסר שאין כנגדו קנס,
25,סעיפי הגדרה,סעיפי הגדרה,מאסר שאין כנגדו קנס,
26,סעיפי הגדרה,סעיפי הגדרה,מבצע בצוותא,
27,סעיפי הגדרה,סעיפי הגדרה,מבצע עבירה,
28,סעיפי הגדרה,סעיפי הגדרה,מבצע עבירה- לרבות מבצעה בצוותא או באמצעות אחר,
29,סעיפי הגדרה,סעיפי הגדרה,מבצעים בצוותא,
30,סעיפי הגדרה,סעיפי הגדרה,ניסיון,
31,סעיפי הגדרה,סעיפי הגדרה,ניסיון,
32,סעיפי הגדרה,סעיפי הגדרה,ניסיון,
33,סעיפי הגדרה,סעיפי הגדרה,ניסיון לשידול(מיתה/ מאסר עולם חובה),
34,סעיפי הגדרה,סעיפי הגדרה,ניסיון לשידול(עונש מאסר עולם),
35,סעיפי הגדרה,סעיפי הגדרה,נסיון,
36,סעיפי הגדרה,סעיפי הגדרה,נסיון לשידול,
37,סעיפי הגדרה,סעיפי הגדרה,נסיון לשידול,
38,סעיפי הגדרה,סעיפי הגדרה,נסיון לשידול (לעבירת עונש מזערי),
39,סעיפי הגדרה,סעיפי הגדרה,סיוע,
40,סעיפי הגדרה,סעיפי הגדרה,סיוע,
41,סעיפי הגדרה,סעיפי הגדרה,סיוע (לעבירה שנקבע לה עונש חובה),
42,סעיפי הגדרה,סעיפי הגדרה,סיוע (לעבירה שנקבע לה עונש מזערי),
43,סעיפי הגדרה,סעיפי הגדרה,סיוע (לעבירה שעונשה מאסר עולם),
44,סעיפי הגדרה,סעיפי הגדרה,סיוע (עונש מיתה/ מאסר עולם חובה),
45,סעיפי הגדרה,סעיפי הגדרה,סיוע לאחר מעשה,
46,סעיפי הגדרה,סעיפי הגדרה,סיוע לאחר מעשה,
47,סעיפי הגדרה,סעיפי הגדרה,קשר ונסיון,
48,סעיפי הגדרה,סעיפי הגדרה,קשר ונסיון,
49,סעיפי הגדרה,סעיפי הגדרה,שידול,
50,סעיפי הגדרה,סעיפי הגדרה,תקנות ההגנה - ניסיון לעוון,
51,סעיפי הגדרה,סעיפי הגדרה,תקנות ההגנה - ניסיון לפשע,
52,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",אי הודעה בדבר סחר/עיסוק בציוד מלחמת,
53,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",הפקדת כלי יריה,
54,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",נשיאה/החזקה/ייצור נשק,
55,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",נשיאה/החזקה/ייצור נשק בצוותא,
56,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",סחר בציוד מלחמתי,
57,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",סחר/עיסוק בציוד מלחמתי ללא היתר,
58,עבירות בטחון,בגידה ורגול,איסוף ידיעות למטרות ריגול,1
59,עבירות בטחון,בגידה ורגול,איסוף ידיעות סודיות והחזקתם,1
60,עבירות בטחון,בגידה ורגול,איסוף סודות במטרה לפגוע במדינה,1
61,עבירות בטחון,בגידה ורגול,גלוי החלטה לבגוד,1
62,עבירות בטחון,בגידה ורגול,החזקת ידיעה בכוונה לפגוע בבטחון האז,
63,עבירות בטחון,בגידה ורגול,החזקת ידיעה סודית,
64,עבירות בטחון,בגידה ורגול,החזקת ידיעות בעלות ערך צבאי,
65,עבירות בטחון,בגידה ורגול,השגת והחזקת ידיעות ע'מ לפגוע במדינה,
66,עבירות בטחון,בגידה ורגול,השגת ידיעות צבאיות,
67,עבירות בטחון,בגידה ורגול,השגת מידע ביטחוני 54א(2) לצו 378 מהוראות הביטחון 1,
68,עבירות בטחון,בגידה ורגול,כוונה לפגוע בריבונות המדינה,
69,עבירות בטחון,בגידה ורגול,כוונה לפגוע בשלמות המדינה,
70,עבירות בטחון,בגידה ורגול,מגע עם סוכן אויב,
71,עבירות בטחון,בגידה ורגול,מגע עם סוכן זר,
72,עבירות בטחון,בגידה ורגול,מגע עם סוכן חוץ,1
73,עבירות בטחון,בגידה ורגול,מסירת ידיעה בכוונה לפגוע בבטחון האז,
74,עבירות בטחון,בגידה ורגול,מסירת ידיעה בכוונה לפגוע במדינה,
75,עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב,1
76,עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב,1
77,עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב ברשלנות,1
78,עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב ע'מ לפגוע במדינה,
79,עבירות בטחון,בגידה ורגול,מסירת ידיעה למטרות ריגול,1
80,עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית,1
81,עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית,1
82,עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית כדי לפגוע במדינה,1
83,עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית לפגיעה בבטחון האז,
84,עבירות בטחון,בגידה ורגול,מסירת ידיעה ע'מ לפגוע במדינה,1
85,עבירות בטחון,בגידה ורגול,מסירת מקום לאויב או נטישתו,
86,עבירות בטחון,בגידה ורגול,נטישת מקום באופן מחפיר,
87,עבירות בטחון,בגידה ורגול,נסיון ליצור מגע עם סוכן,1
88,עבירות בטחון,בגידה ורגול,נסיון ליצור מגע עם סוכן זר,
89,עבירות בטחון,בגידה ורגול,סיוע לאויב ביודעין,
90,עבירות בטחון,בגידה ורגול,סיוע לאויב במלחמה,1
91,עבירות בטחון,בגידה ורגול,סיוע לאויב במלחמה,1
92,עבירות בטחון,בגידה ורגול,סיוע לאויב בתקופת שבי,
93,עבירות בטחון,בגידה ורגול,עזרה לאויב ביודעין,
94,עבירות בטחון,בגידה ורגול,עזרה לאויב בכוונה,
95,עבירות בטחון,בגידה ורגול,פגיעה בריבונות המדינה,
96,עבירות בטחון,בגידה ורגול,פגיעה בריבונות המדינה או בשלימותה,1
97,עבירות בטחון,בגידה ורגול,פגיעה בריבונות המדינה או בשלימותה,1
98,עבירות בטחון,בגידה ורגול,פגיעה בשלמות המדינה,
99,עבירות בטחון,בגידה ורגול,רשום ידיעות בעלות ערך צבאי,
100,עבירות בטחון,בגידה ורגול,שרות בכוחות האויב,1
101,עבירות בטחון,בגידה ורגול,תעמולה תבוסנית,1
102,עבירות בטחון,הנפת דגל פלסטין,הנפת דגל פלשתין  5 מצו 101 הוראות בטחון 1970,
103,עבירות בטחון,הסתה,איסור החזקת/הנפת דגלים ללא היתר,
104,עבירות בטחון,הסתה,איסור קיום תהלוכות/אסיפות ללא רשיון,
105,עבירות בטחון,הסתה,גילוי הזדהות עם ארגון טרוריסטי,
106,עבירות בטחון,הסתה,החזקת חומר תעמולה לטובת אירגון טרור,
107,עבירות בטחון,הסתה,החזקת פרסום המסית לאלימות או לטרור,1
108,עבירות בטחון,הסתה,הסתה,
109,עבירות בטחון,הסתה,הסתה - מצו 101 בדבר איסור פעולות הסתה ותעמולה עוינ,
110,עבירות בטחון,הסתה,הסתה לאלימות ולטרור,1
111,עבירות בטחון,הסתה,השתתפות או ארגון תהלוכה ללא רישיון,
112,עבירות בטחון,הסתה,נתינת כסף לטובת אירגון טרור,
113,עבירות בטחון,הסתה,פרסום דברי תמיכה באירגון טרוריסטי,
114,עבירות בטחון,הסתה,"פרסום קריאה לעשיית מעשה אלימות, שבח, אהדה או עידוד",
115,עבירות בטחון,הסתה,"פרסום קריאה לעשיית מעשה אלימות,שבח,אהדה, עידוד למע",1
116,עבירות בטחון,הסתה,תמיכה בארגון עויין,
117,עבירות בטחון,הסתננות,הוצאת רכוש מישראל עבור מסתנן,
118,עבירות בטחון,הסתננות,הסתננות,
119,עבירות בטחון,הסתננות,הסתננות,
120,עבירות בטחון,הסתננות,הסתננות וביצוע עבירות מסויימות,
121,עבירות בטחון,הסתננות,הסתננות לאחר גרוש,
122,עבירות בטחון,הסתננות,הסתננות מזויינת,
123,עבירות בטחון,הסתננות,יציאה שלא כדין לארצות ערב,
124,עבירות בטחון,הסתננות,מסתנן המוציא רכוש מישראל,
125,עבירות בטחון,הסתננות,מתן מחסה למסתנן,
126,עבירות בטחון,הסתננות,סחר עם מסתנן,
127,עבירות בטחון,הקמת מחסום - בטחון,הקמת מחסום  68 מצו 378 בדבר הוראות הבטחון 1970,
128,עבירות בטחון,השלכת בקבוק תבערה - בטחון,השלכת בקבוק תבערה  53 א. לצו 378 בדבר הוראות הבטחו,
129,עבירות בטחון,השלכת בקבוק תבערה - בטחון,זריקת או הנחת חומרי חבלה בכוונה לגרום מוות או חבלה,
130,עבירות בטחון,ידוי אבנים,הפרעה לשוטר בנסיבות מחמירות,
131,עבירות בטחון,ידוי אבנים,זריקת חפץ בנתיב תחבורה,
132,עבירות בטחון,ידוי אבנים,זריקת חפץ לעבר אדם/רכוש,
133,עבירות בטחון,ידוי אבנים,זריקת חפץ לעבר כלי תחבורה נוסע,
134,עבירות בטחון,ידוי אבנים,ידוי אבנים 66 מצו הוראות הבטחון,
135,עבירות בטחון,ידוי אבנים,יידוי אבן/חפץ לעבר רכב במטרה לפגוע,
136,עבירות בטחון,ידוי אבנים,יידוי/ירי אבן/חפץ לעבר רכב נוסע,
137,עבירות בטחון,ידוי אבנים,סיכון אדם בנתיב תחבורה - לאומני,
138,עבירות בטחון,ידוי אבנים,סיכון אדם בנתיב תחבורה בירי/זריקה,
139,עבירות בטחון,מסירת סודות רשמיים,גילוי ידיעות,
140,עבירות בטחון,מסירת סודות רשמיים,גילוי מידע חסוי ללא היתר,
141,עבירות בטחון,מסירת סודות רשמיים,החזקת ידיעה ללא סמכות כדין,1
142,עבירות בטחון,מסירת סודות רשמיים,התרשלות בשמירת מסמך,
143,עבירות בטחון,מסירת סודות רשמיים,מכירת מסמכים או מדים,
144,עבירות בטחון,מסירת סודות רשמיים,מכירת מסמכים או מדים רשמיים,1
145,עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעה ע'י בעל חוזה,1
146,עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעה רשמית ע'י עובד ציבור,1
147,עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעות בעלות ערך צבאי,
148,עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעות רשמיות ע'י עובד ציבור,
149,עבירות בטחון,מסירת סודות רשמיים,מסירת מסמך בהפרת אמון,1
150,עבירות בטחון,מסירת סודות רשמיים,מסירת מסמך לשאינו מוסמך לקבלו,
151,עבירות בטחון,מסירת סודות רשמיים,רשלנות בשמירת ידיעות רשמיות,1
152,עבירות בטחון,מסירת סודות רשמיים,רשלנות בשמירת מסמך,1
153,עבירות בטחון,מרד והסתה למרד,החזקת פרסום גזעני,1
154,עבירות בטחון,מרד והסתה למרד,החזקת פרסומי מרד,1
155,עבירות בטחון,מרד והסתה למרד,הסתה לאי ציות,1
156,עבירות בטחון,מרד והסתה למרד,הסתה לאי ציות בכוונה לפגוע במדינה,1
157,עבירות בטחון,מרד והסתה למרד,הסתה למרד ע'י פרסומים,1
158,עבירות בטחון,מרד והסתה למרד,הסתה למרי,
159,עבירות בטחון,מרד והסתה למרד,ייבוא פרסומי הסתה למרד,1
160,עבירות בטחון,מרד והסתה למרד,מעשה המרדה,1
161,עבירות בטחון,מרד והסתה למרד,מרידה בזמן לחימה או תוך כדי שימוש בנשק או איום בו,
162,עבירות בטחון,מרד והסתה למרד,מרידה בכוונה לפגוע במדינה,1
163,עבירות בטחון,מרד והסתה למרד,עבירות ממניע גזענות או עויינות כלפי ציבור,1
164,עבירות בטחון,מרד והסתה למרד,עבירות ממניע גזענות או עויינות כלפי ציבור,1
165,עבירות בטחון,מרד והסתה למרד,פרסום הסתה לגזענות,1
166,עבירות בטחון,עבירות אחרות כלפי בטחון,"'סחר, ייצור ויבוא סכין'",
167,עבירות בטחון,עבירות אחרות כלפי בטחון,אדם הסוחר עם האוייב,
168,עבירות בטחון,עבירות אחרות כלפי בטחון,אחזקת ציוד צבאי,
169,עבירות בטחון,עבירות אחרות כלפי בטחון,אי-הפקדת כלי נשק שהיתרו פקע,
170,עבירות בטחון,עבירות אחרות כלפי בטחון,אי הושטת עזרה לאחר תאונה,
171,עבירות בטחון,עבירות אחרות כלפי בטחון,אי הצגת רשיון חרף דרישת שוטר,
172,עבירות בטחון,עבירות אחרות כלפי בטחון,אי התיצבות,
173,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת בצוע עבירה,
174,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת מעשה טרור,1
175,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
176,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
177,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
178,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
179,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה- אי מסירת הודעה,
180,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה מסוג פשע,
181,עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת פשע,
182,עבירות בטחון,עבירות אחרות כלפי בטחון,אי עצירה ואי מסירת פרטים,
183,עבירות בטחון,עבירות אחרות כלפי בטחון,אי ציות להוראת התייצבות,
184,עבירות בטחון,עבירות אחרות כלפי בטחון,אי ציות לצו זימון מיוחד,
185,עבירות בטחון,עבירות אחרות כלפי בטחון,אי קיום פקודה,
186,עבירות בטחון,עבירות אחרות כלפי בטחון,איום בביצוע מעשה טרור,1
187,עבירות בטחון,עבירות אחרות כלפי בטחון,איום והעלבה,
188,עבירות בטחון,עבירות אחרות כלפי בטחון,איום על אחר,
189,עבירות בטחון,עבירות אחרות כלפי בטחון,איומים,
190,עבירות בטחון,עבירות אחרות כלפי בטחון,איומים,
191,עבירות בטחון,עבירות אחרות כלפי בטחון,איומים,
192,עבירות בטחון,עבירות אחרות כלפי בטחון,איומים במטרה לביצוע/ הימנעות ממעשה,
193,עבירות בטחון,עבירות אחרות כלפי בטחון,איומים המסכנים את שלום הציבור,
194,עבירות בטחון,עבירות אחרות כלפי בטחון,אימון נשק/חבלה ע'י תושב האזור,
195,עבירות בטחון,עבירות אחרות כלפי בטחון,אימון צבאי בלא היתר,
196,עבירות בטחון,עבירות אחרות כלפי בטחון,אינוס אדם שאין ביכולתו להתנגד,
197,עבירות בטחון,עבירות אחרות כלפי בטחון,אינוס בכח או באיום,
198,עבירות בטחון,עבירות אחרות כלפי בטחון,אינוס קטין בן 15 ומטה,
199,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור הוצאת מסמכי זיהוי,
200,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מגע עם אויב,
201,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מגע עם אוייב,
202,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מסחר בכלי יריה,
203,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מסחר בכלי יריה,
204,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור פעולה ברכוש טרור,
205,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור פעולה ברכוש למטרות טרור,
206,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור פעולה/העברה של רכוש טרור,1
207,עבירות בטחון,עבירות אחרות כלפי בטחון,איסור/פעולה/סיוע ברכוש למטרות טרור,1
208,עבירות בטחון,עבירות אחרות כלפי בטחון,אמון צבאי בלתי חוקי,
209,עבירות בטחון,עבירות אחרות כלפי בטחון,אמונים צבאיים בלתי חוקיים,
210,עבירות בטחון,עבירות אחרות כלפי בטחון,בדיית עבירות או ראיות,
211,עבירות בטחון,עבירות אחרות כלפי בטחון,ביקור במקום המיועד לשימוש בסמים,
212,עבירות בטחון,עבירות אחרות כלפי בטחון,בעילת קטין בן פחות מ12,
213,עבירות בטחון,עבירות אחרות כלפי בטחון,בריחה ממשמורת,
214,עבירות בטחון,עבירות אחרות כלפי בטחון,בריחה ממשמורת,
215,עבירות בטחון,עבירות אחרות כלפי בטחון,בריחה ממשמורת חוקית,
216,עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס חברים לארגון טרור,1
217,עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס ישראלי לכח מזוין של המועצה,
218,עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס תושב בישראל לכוחות חוץ,1
219,עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס תושב בישראל לכח זר,
220,עבירות בטחון,עבירות אחרות כלפי בטחון,גילוי הזדהות עם ארגון טרור בפומבי,1
221,עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת מוות תוך שימוש ברכב,
222,עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת מות או בצוע חבלה במתקן צה'ל,
223,עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק ברשלנות לרכוש בטחוני,
224,עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק לרכוש,
225,עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק לרכוש במלחמה תוך רשלנות,
226,עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק לרכוש תוך רשלנות,
227,עבירות בטחון,עבירות אחרות כלפי בטחון,דרך נהיגה פסולה או סירוב מסירת שם,
228,עבירות בטחון,עבירות אחרות כלפי בטחון,"הגדרות- סכין, אולר",
229,עבירות בטחון,עבירות אחרות כלפי בטחון,הגשת תלונת שווא על ביצוע עוון,
230,עבירות בטחון,עבירות אחרות כלפי בטחון,הגשת תלונת שווא על ביצוע פשע,
231,עבירות בטחון,עבירות אחרות כלפי בטחון,הודעה על אימוני נשק/חבלה,
232,עבירות בטחון,עבירות אחרות כלפי בטחון,הוצאת ציוד צבאי שלא כדין,
233,עבירות בטחון,עבירות אחרות כלפי בטחון,הזדהות עם ארגון טרור והסתה לטרור,1
234,עבירות בטחון,עבירות אחרות כלפי בטחון,הזדהות עם ארגון טרור והסתה לטרור בנסיבות של מעשה ט,1
235,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקה ועיסוק בכלי יריה שלא כחוק,
236,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקה לשם הפצת פרסום לפי סעיף (א),1
237,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת כלי או חפץ המסוגל לגרום מוות,
238,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת כלי יריה  52 (א) מצו 378 מהוראות הבטחון 1970,
239,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת מסמך כוזב,
240,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת נשק חם או חנ'מ ללא היתר,
241,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת נשק חם שלא בתנאי ההיתר,
242,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת נשק ללא רשיון,
243,עבירות בטחון,עבירות אחרות כלפי בטחון,"החזקת נשק,תחמושת או חמרי חבלה",
244,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת סכין שלא כדין,
245,עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת סכין שלא למטרה כשרה,
246,עבירות בטחון,עבירות אחרות כלפי בטחון,החמרת עונש-מעשה טרור-מאסר עולם שאינו חובה,1
247,עבירות בטחון,עבירות אחרות כלפי בטחון,החמרת ענישה-עבירה שהיא מעשה טרור,1
248,עבירות בטחון,עבירות אחרות כלפי בטחון,החמרת ענישה-עבירה שהיא מעשה טרור,1
249,עבירות בטחון,עבירות אחרות כלפי בטחון,היזק לרכוש במזיד,
250,עבירות בטחון,עבירות אחרות כלפי בטחון,היזק לרכוש עובד ציבור במזיד,
251,עבירות בטחון,עבירות אחרות כלפי בטחון,הכנה לביצוע מעשה טרור,1
252,עבירות בטחון,עבירות אחרות כלפי בטחון,הכנה למעשה טרור שדינו מ.עולם חובה,1
253,עבירות בטחון,עבירות אחרות כלפי בטחון,הכנסת בעל חיים לשטח סגור,
254,עבירות בטחון,עבירות אחרות כלפי בטחון,הכנת חומר נפץ לביצוע עבירה,
255,עבירות בטחון,עבירות אחרות כלפי בטחון,הכנת עבירה בחומרים מסוכנים,
256,עבירות בטחון,עבירות אחרות כלפי בטחון,הכשלה או הפרעה לחייל צה'ל,
257,עבירות בטחון,עבירות אחרות כלפי בטחון,הכשלת תפיסת רכוש,1
258,עבירות בטחון,עבירות אחרות כלפי בטחון,המאיים לבצע עבירה המנויה בתוספת הראשונה,
259,עבירות בטחון,עבירות אחרות כלפי בטחון,המציע או מבטיח שוחד,
260,עבירות בטחון,עבירות אחרות כלפי בטחון,המציע למכור תוצרת או מצרכים מזוייפים או מקולקלים,
261,עבירות בטחון,עבירות אחרות כלפי בטחון,המתאמן אימון צבאי בנגוד לחוק,
262,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
263,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
264,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
265,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
266,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה להשתמטות,
267,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה להשתמטות מצבא או מפעולה,1
268,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה לעריקה,1
269,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה נגד מדינה ידידותית,
270,עבירות בטחון,עבירות אחרות כלפי בטחון,הסתרת מידע בידי עובד ציבור,1
271,עבירות בטחון,עבירות אחרות כלפי בטחון,העלבת חייל או פגיעה בכבודו,
272,עבירות בטחון,עבירות אחרות כלפי בטחון,העלבת רשות צה'ל או סמליה,
273,עבירות בטחון,עבירות אחרות כלפי בטחון,העמדת חפץ לרשות אירגון טרור,
274,עבירות בטחון,עבירות אחרות כלפי בטחון,הפצת ידיעה ברבים,
275,עבירות בטחון,עבירות אחרות כלפי בטחון,הפקרה לאחר תאונה,
276,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הוראה בדבר סגירת שטח,
277,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הוראת תמרור או אות שוטר במדים,
278,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת סגירת שטח או הפרעה לרשות,
279,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - איסור יציאה,
280,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - איסור כניסה,
281,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - כניסה ויציאה,
282,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - כניסה ושהייה,
283,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - תנאי היתר,
284,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת חובות דיווח,1
285,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת חובת התייצבות,
286,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת סדר ומשמעת בזמן מעצר מנהלי,
287,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו - פתיחת/סגירת מקומות,
288,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו בעניין הסרת מחסומים/מכשולים,
289,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו בעניין שימוש ברכב,
290,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו בעניין תנועת בני אדם,
291,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו מפקד צבאי - עוצר,
292,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו פקוח מיוחד,
293,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו פתיחת מקומות וסגירתם,
294,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו תנועה ותעבורה,
295,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צוי הגבלה,
296,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת תנאי רישיון שניתן כדין,
297,עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת תנאי רשיון לכלי יריה,
298,עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה בבנין או חלקו,
299,עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה בכלי תחבורה,
300,עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה במצוי בבנין,
301,עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה בצומח,
302,עבירות בטחון,עבירות אחרות כלפי בטחון,השאלת מסמך שהוצא כדין,
303,עבירות בטחון,עבירות אחרות כלפי בטחון,השחתת מסמכים רשמיים,
304,עבירות בטחון,עבירות אחרות כלפי בטחון,השחתת מסמכים שמורים,
305,עבירות בטחון,עבירות אחרות כלפי בטחון,השחתת שילוט,
306,עבירות בטחון,עבירות אחרות כלפי בטחון,השתייכות לאירגון טרוריסטי,
307,עבירות בטחון,עבירות אחרות כלפי בטחון,השתמטות מפעולה קרבית,
308,עבירות בטחון,עבירות אחרות כלפי בטחון,השתמטות משירות בטענות שוא,
309,עבירות בטחון,עבירות אחרות כלפי בטחון,התגיסות ישראלי לשרת בכח של המועצה,
310,עבירות בטחון,עבירות אחרות כלפי בטחון,התחזות-  כעובד ציבור,
311,עבירות בטחון,עבירות אחרות כלפי בטחון,התחזות בזהות בדויה בפני רשות,
